0
$30 million[2]
$65 million[1]
$25 million
$16 million
$30 million
$30 million
$30 million
$30 million
$60 million
$62 million[2]
$30 million
$30 million
$30 million
$98 million[3]
$98 million[3]
$98 million[3]
$4 million
$30 million[1]
$68 million[1]
$68 million[1]
$68 million[1]
$68 million[1]
$68 million[1]
$4 million[2]
$4 million[2]
$4 million[2]
$4 million[2]
$23 million
$29.5 million
$29.5 million
$29.5 million
$29.5 million
$29.5 million
$29.5 million
$29.5 million
$10 million
$10 million
$10 million
$20 million
$20 million
$20 million
$20 million
Canada
$15 million[2]
"$12,000,000"
"$12,000,000"
"$12,000,000"
"Canada
France
United Kingdom"
"Canada
France
United Kingdom"
"Canada
France
United Kingdom"
English
English
English
English
English
$9 million
$8 million
English
English
English
English
English
English
English
English
$65–70 million[2][3]
"United Kingdom
Canada"
"United Kingdom
Canada"
"United Kingdom
Canada"
$35 million
$35 million
English
English
English
United States
United States
United States
United States
"$28,000"
"$28,000"
"$28,000"
$4 million
$4 million
$4 million
English
$100 million[1]
$23 million
$2 million
$11 million
$11 million
$11 million
$11 million
$11 million
$11 million
$11 million
$11 million
"$800,000"
English
$55 million
$55 million
$55 million
$55 million
$55 million
$55 million
$55 million
$55 million
"$500,000"
$11 million[2]
$11 million[2]
$6.1 million
$15 million
English
English
English
English
English
English
English
English
$45 million[4][5]
$45 million[4][5]
$45 million[4][5]
$45 million[4][5]
$45 million[4][5]
$45 million[4][5]
$45 million[4][5]
$45 million[4][5]
English
$60 million[1]
$60 million[1]
$60 million[1]
$20 million
$172–175 million[2][3]
$172–175 million[2][3]
$172–175 million[2][3]
$2.5 million[3]
$2.5 million[3]
$21 million
$21 million
United States
United States
United States
English
English
$21 million
$21 million
English
English
English
English
$2.8 million[1]
$10.5 million
United States
United States
$14 million
$14 million
$14 million
English
English
English
English
$17 million
$17 million
$6 million
$6 million
$6 million
$5 million
$5 million
United States
United States
"$11,000,000 (estimated)"
English
English
English
English
United States
Canada
Canada
English
English
$12 million
$12 million
$12 million
$20 million[2]
$20 million[2]
$20 million[2]
$30 million
$30 million
$30 million
United States
United States
United States
English
English
United States
United States
United States
United States
United States
$800.000
$800.000
$800.000
English
English
English
English
80 minutes
80 minutes
English
English
English
United States
$24 million
English
English
English
$9 million[2]
$9 million[2]
$9 million[2]
$9 million[2]
English
English
$9 million
$9 million
English
English
English
Yugoslavia / UK / France / Germany / Greece
English
United Kingdom
United Kingdom
United Kingdom
United Kingdom
United States
$5 million
